stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4685,,MARIO QUINTANA SARGENTO SILVIO DELMAR HOLLENBACH,,-30.023302,-51.109984
4730,,MARIO QUINTANA SARGENTO SILVIO DELMAR HOLLENBACH,,-30.020155,-51.109715
4731,,MARIO QUINTANA SARGENTO SILVIO DELMAR HOLLENBACH,,-30.017768,-51.109515
4702,,MARIO QUINTANA PILADE FREDIANI,,-30.02592,-51.108352
4701,,MARIO QUINTANA PILADE FREDIANI,,-30.025975,-51.108428
806,,CAMAQUA CAMAQUA,,-30.104516,-51.239015
4669,,MARIO QUINTANA VEREADOR TEREZIO MEIRELES,,-30.023676,-51.117304
5738,,MARIO QUINTANA VEREADOR TEREZIO MEIRELES,,-30.02454,-51.117297
5159,,MARIO QUINTANA MANOEL MARQUES,,-30.032101,-51.118273
5160,,MARIO QUINTANA MANOEL MARQUES,,-30.033574,-51.118355
5737,,MARIO QUINTANA VEREADOR TEREZIO MEIRELES,,-30.024888,-51.11741
6519,,CASCATA BATILLANAS,,-30.085076,-51.186094
1318,,CASCATA BATILLANAS,,-30.085066,-51.186241
1313,,CASCATA BATILLANAS,,-30.085105,-51.188689
580,,ARQUIPELAGO PRESIDENTE VARGAS,,-30.029079,-51.252533
579,,ARQUIPELAGO PRESIDENTE VARGAS,,-30.029109,-51.252616
581,,ARQUIPELAGO PRESIDENTE VARGAS,,-30.027614,-51.253004
1312,,CASCATA BATILLANAS,,-30.085007,-51.1889
578,,ARQUIPELAGO PRESIDENTE VARGAS,,-30.025946,-51.253792
583,,ARQUIPELAGO PRESIDENTE VARGAS,,-30.021747,-51.256318
584,,ARQUIPELAGO PRESIDENTE VARGAS,,-30.021708,-51.256642
574,,ARQUIPELAGO PRESIDENTE VARGAS,,-30.019245,-51.258134
585,,ARQUIPELAGO PRESIDENTE VARGAS,,-30.024266,-51.25462
576,,ARQUIPELAGO PRESIDENTE VARGAS,,-30.01735,-51.258771
575,,ARQUIPELAGO PRESIDENTE VARGAS,,-30.017524,-51.25881
616,,ARQUIPELAGO PRESIDENTE VARGAS,,-30.015534,-51.259271
6518,,CHAPEU DO SOL EDGAR PIRES DE CASTRO,,-30.163997,-51.155501
6517,,RESTINGA EDGAR PIRES DE CASTRO,,-30.164039,-51.155406
615,,ARQUIPELAGO PRESIDENTE VARGAS,,-30.015531,-51.259357
4639,,MARIO QUINTANA SEIS DE NOVEMBRO,,-30.033416,-51.114017
4638,,MARIO QUINTANA SEIS DE NOVEMBRO,,-30.033233,-51.115663
4637,,MARIO QUINTANA SEIS DE NOVEMBRO,,-30.033304,-51.115678
5992,,MARIO QUINTANA SEIS DE NOVEMBRO,,-30.033247,-51.11679
1502,,CENTRO GEN SALUSTIANO,,-30.033751,-51.239781
4636,,MARIO QUINTANA SEIS DE NOVEMBRO,,-30.033138,-51.117275
3439,,MARIO QUINTANA SEIS DE NOVEMBRO,,-30.033213,-51.118121
3437,,MARIO QUINTANA SEIS DE NOVEMBRO,,-30.033132,-51.119541
3438,,MARIO QUINTANA SEIS DE NOVEMBRO,,-30.03306,-51.119535
1598,,CIDADE BAIXA AURELIANO DE FIGUEIREDO PINTO,,-30.043581,-51.221912
2690,,SAO JOSE VIDAL DE NEGREIROS,,-30.066605,-51.167791
5161,,MARIO QUINTANA DEODORO,,-30.035994,-51.118884
1154,,CAMPO NOVO CRISTIANO KRAEMER,,-30.142908,-51.198634
1157,,CAMPO NOVO CRISTIANO KRAEMER,,-30.142154,-51.197013
1156,,CAMPO NOVO CRISTIANO KRAEMER,,-30.142248,-51.197172
6516,,SANTA TERESA PADRE CACIQUE,,-30.063931,-51.231935
611,,ELDORADO DO SUL ,,-30.011872,-51.263279
612,,ELDORADO DO SUL ,,-30.012036,-51.263309
608,,ELDORADO DO SUL ,,-30.010382,-51.264492
5735,,ELDORADO DO SUL ,,-30.009035,-51.2651
609,,ELDORADO DO SUL ,,-30.008975,-51.265216
588,,ELDORADO DO SUL ,,-30.007552,-51.265802
589,,ELDORADO DO SUL ,,-30.007209,-51.265877
5734,,ELDORADO DO SUL ,,-30.004579,-51.267371
591,,ELDORADO DO SUL ,,-30.002801,-51.26848
603,,ELDORADO DO SUL ,,-29.998628,-51.269365
607,,ELDORADO DO SUL MARTINHO POETA,,-30.01049,-51.264303
597,,ELDORADO DO SUL ,,-29.996976,-51.270031
604,,ELDORADO DO SUL MARTINHO POETA,,-29.99822,-51.269454
598,,ELDORADO DO SUL MARTINHO POETA,,-29.99649,-51.270346
602,,ELDORADO DO SUL ,,-29.995125,-51.27103
5736,,ELDORADO DO SUL ,,-29.993686,-51.272014
601,,ELDORADO DO SUL ,,-29.993941,-51.271906
6514,,ELDORADO DO SUL ,,-29.995209,-51.271074
6513,,CIDADE BAIXA AURELIANO DE FIGUEIREDO PINTO,,-30.043134,-51.227469
6184,,ANCHIETA JAIME VIGNOLI,,-29.970598,-51.170882
4004,,ANCHIETA JAIME VIGNOLI,,-29.970497,-51.170505
5782,,ANCHIETA JAIME VIGNOLI,,-29.974647,-51.173147
4001,,ANCHIETA JAIME VIGNOLI,,-29.973556,-51.172612
3992,,ANCHIETA JAIME VIGNOLI,,-29.977413,-51.174353
3990,,ANCHIETA JAIME VIGNOLI,,-29.979012,-51.175045
3999,,ANCHIETA VITOR VALPIRIO,,-29.975452,-51.171698
3998,,ANCHIETA VITOR VALPIRIO,,-29.976803,-51.172281
3995,,ANCHIETA VITOR VALPIRIO,,-29.978608,-51.173064
3997,,ANCHIETA ANGELO DOURADO,,-29.975045,-51.17244
3989,,ANCHIETA VITOR VALPIRIO,,-29.979522,-51.173455
3991,,ANCHIETA ANGELO DOURADO,,-29.978483,-51.173927
3996,,ANCHIETA ANGELO DOURADO,,-29.97707,-51.173314
3994,,ANCHIETA JOSE LUTZENBERGER,,-29.976761,-51.175158
3988,,ANCHIETA JOSE LUTZENBERGER,,-29.978742,-51.177139
3987,,ANCHIETA JOSE LUTZENBERGER,,-29.977168,-51.175534
3986,,ANCHIETA JOSE LUTZENBERGER,,-29.978713,-51.177215
4003,,ANCHIETA FERNANDO FERRARI,,-29.975,-51.168103
4002,,ANCHIETA FERNANDO FERRARI,,-29.974742,-51.171762
6511,,PETROPOLIS PROTASIO ALVES,,-30.040451,-51.193977
5304,,JARDIM BOTANICO DR SALVADOR FRANCA,,-30.050968,-51.180284
2642,,PARTENON TEN ALPOIM,,-30.066376,-51.17932
3636,,SAO JOAO DR JOAO INACIO,,-30.00322,-51.191274
3364,,JD ITU SABARA ALBERTO PASQUALINI,,-30.031465,-51.135242
5780,,FARRAPOS JAYME TOLPOLAR,,-29.985647,-51.198288
3709,,FARRAPOS JAYME TOLPOLAR,,-29.980386,-51.196596
3705,,FARRAPOS JAYME TOLPOLAR,,-29.983672,-51.197656
1938,,CEL AP BORGES INTENDENTE ALFREDO AZEVEDO,,-30.073697,-51.18889
6509,,JARDIM FLORESTA REALENGO,,-29.997415,-51.157427
6508,,JARDIM FLORESTA REALENGO,,-29.997559,-51.157838
6507,,JARDIM FLORESTA TAIM,,-29.996881,-51.156517
6336,,SÃO GERALDO BRASIL,,-30.006684,-51.19615
3561,,SÃO GERALDO BRASIL,,-30.004428,-51.203552
3549,,SÃO GERALDO GUIDO MONDIN,,-30.00938,-51.202999
3707,,FARRAPOS JAYME TOLPOLAR,,-29.982446,-51.197267
6506,,RESTINGA LUIZ OTAVIO,,-30.116859,-51.162272
6505,,RESTINGA RINCAO,,-30.1165,-51.162441
2427,,RESTINGA RINCAO,,-30.117308,-51.160604
2430,,RESTINGA RINCAO,,-30.119033,-51.158355
2136,,SANTANA SAO LUIZ,,-30.048579,-51.203707
2046,,JARDIM BOTANICO LA PLATA,,-30.051846,-51.189327
2045,,JARDIM BOTANICO LA PLATA,,-30.051919,-51.189346
2043,,JARDIM BOTANICO LA PLATA,,-30.05119,-51.191146
2044,,JARDIM BOTANICO LA PLATA,,-30.051127,-51.191105
2008,,JARDIM BOTANICO LA PLATA,,-30.050637,-51.19265
2007,,JARDIM BOTANICO LA PLATA,,-30.050699,-51.192697
2004,,JARDIM BOTANICO LA PLATA,,-30.050235,-51.194306
2057,,JARDIM BOTANICO LA PLATA,,-30.052601,-51.187487
2222,,MOINHOS DE VENTO FELIX DA CUNHA,,-30.022289,-51.201999
2223,,FLORESTA FELIX DA CUNHA,,-30.018786,-51.202265
5446,,FLORESTA FELIX DA CUNHA,,-30.017222,-51.202546
3543,,FLORESTA FELIX DA CUNHA,,-30.014121,-51.203275
617,, ENG REGIS BITENCOURTH,,-29.988462,-51.260655
618,, ENG REGIS BITENCOURTH,,-29.987977,-51.259319
619,, ENG REGIS BITENCOURTH,,-29.985872,-51.252017
620,, ENG REGIS BITENCOURTH,,-29.98562,-51.251096
3513,, ENG REGIS BITENCOURTH,,-29.986469,-51.242381
3514,, ENG REGIS BITENCOURTH,,-29.986806,-51.241584
3515,, ENG REGIS BITENCOURTH,,-29.991426,-51.22734
3516,, ENG REGIS BITENCOURTH,,-29.994539,-51.217639
3517,, ENG REGIS BITENCOURTH,,-29.994596,-51.217239
1933,,PARTENON BATISTA XAVIER,,-30.066307,-51.192623
3614,,NAVEGANTES DR JOAO INACIO,,-30.002475,-51.196425
3622,,NAVEGANTES DR JOAO INACIO,,-30.002849,-51.194278
3613,,NAVEGANTES DR JOAO INACIO,,-30.002262,-51.19772
3736,,HUMAITA BONIFACIO NUNEZ (GITA),,-29.978062,-51.189741
3979,,HUMAITA ELY LEITE URDAPILLETA,,-29.979464,-51.182248
3585,,NAVEGANTES SANTO GUERRA,,-29.995402,-51.200396
6196,,RUBEM BERTA PAULINO,,-29.990394,-51.089569
3586,,NAVEGANTES FREDERICO MENTZ,,-29.992469,-51.201004
3581,,NAVEGANTES FREDERICO MENTZ,,-29.996351,-51.202333
3587,,NAVEGANTES FREDERICO MENTZ,,-29.991511,-51.200578
3666,,FARRAPOS FREDERICO MENTZ,,-29.988418,-51.1995
3668,,FARRAPOS FREDERICO MENTZ,,-29.986704,-51.198947
3667,,FARRAPOS FREDERICO MENTZ,,-29.987112,-51.199163
3669,,FARRAPOS FREDERICO MENTZ,,-29.984912,-51.198454
6031,,FARRAPOS FREDERICO MENTZ,,-29.984712,-51.198391
6504,,NAVEGANTES FREDERICO MENTZ,,-29.989138,-51.199739
6032,,FARRAPOS FREDERICO MENTZ,,-29.984856,-51.198351
6030,,FARRAPOS FREDERICO MENTZ,,-29.982749,-51.197674
6029,,FARRAPOS FREDERICO MENTZ,,-29.982524,-51.197684
6027,,FARRAPOS FREDERICO MENTZ,,-29.981352,-51.197313
6028,,FARRAPOS FREDERICO MENTZ,,-29.980562,-51.19699
6255,,FARRAPOS FREDERICO MENTZ,,-29.979879,-51.196849
3714,,FARRAPOS FREDERICO MENTZ,,-29.978645,-51.19644
3715,,FARRAPOS FREDERICO MENTZ,,-29.977252,-51.195999
6161,,FARRAPOS FREDERICO MENTZ,,-29.978514,-51.196313
6277,,FARRAPOS FREDERICO MENTZ,,-29.975976,-51.195571
3685,,HUMAITA LIMA BARRETO,,-29.985567,-51.192275
6292,,FARRAPOS FREDERICO MENTZ,,-29.975805,-51.195427
3682,,HUMAITA LIMA BARRETO,,-29.985685,-51.192103
6280,,NAVEGANTES DONA MARGARIDA,,-29.998324,-51.200048
3659,,NAVEGANTES DONA MARGARIDA,,-29.999455,-51.194753
3642,,NAVEGANTES DONA MARGARIDA,,-30.000721,-51.18881
3660,,NAVEGANTES DEZOITO DE NOVEMBRO,,-29.99824,-51.194256
6311,,HUMAITA DEZOITO DE NOVEMBRO,,-29.998454,-51.193257
6411,,CEL AP BORGES INTENDENTE ALFREDO AZEVEDO,,-30.073515,-51.187969
5688,,CEL AP BORGES INTENDENTE ALFREDO AZEVEDO,,-30.073638,-51.188232
5689,,CEL AP BORGES INTENDENTE ALFREDO AZEVEDO,,-30.073999,-51.190138
1937,,CEL AP BORGES INTENDENTE ALFREDO AZEVEDO,,-30.07402,-51.19067
1904,,CEL AP BORGES INTENDENTE ALFREDO AZEVEDO,,-30.074362,-51.192175
1903,,CEL AP BORGES INTENDENTE ALFREDO AZEVEDO,,-30.074357,-51.192559
1898,,CEL AP BORGES INTENDENTE ALFREDO AZEVEDO,,-30.074614,-51.193986
1895,,GLORIA INTENDENTE ALFREDO AZEVEDO,,-30.074947,-51.195814
1886,,GLORIA INTENDENTE ALFREDO AZEVEDO,,-30.075136,-51.196442
1882,,GLORIA INTENDENTE ALFREDO AZEVEDO,,-30.075363,-51.198085
1881,,GLORIA INTENDENTE ALFREDO AZEVEDO,,-30.075552,-51.198732
5420,,FLORESTA CRISTOVAO COLOMBO,,-30.018065,-51.201679
2853,,PETROPOLIS SACADURA CABRAL,,-30.044361,-51.179241
1748,,GLORIA INTENDENTE ALFREDO AZEVEDO,,-30.075838,-51.200336
1749,,GLORIA INTENDENTE ALFREDO AZEVEDO,,-30.075768,-51.20035
754,,CAMAQUA DR PEREIRA NETO,,-30.108245,-51.240342
6112,, PROF CRISTIANO FISCHER,,-30.05833,-51.169433
2789,,PARTENON IPIRANGA,,-30.055988,-51.165921
1835,,SANTO ANTONIO DELFINO RIET,,-30.060357,-51.200153
4748,,RUBEM BERTA WOLFRAM METZLER,,-30.021224,-51.102755
4750,,RUBEM BERTA WOLFRAM METZLER,,-30.021149,-51.102684
